"filename", "language", "pip requirements", "PostCSS", "JavaScript", "HTML", "Python", "comment", "blank", "total"
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\infantil.css", "PostCSS", 0, 530, 0, 0, 0, 30, 78, 638
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\infantil.html", "HTML", 0, 0, 0, 114, 0, 1, 9, 124
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\infantil.js", "JavaScript", 0, 0, 313, 0, 0, 44, 59, 416
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\mapa.css", "PostCSS", 0, 576, 0, 0, 0, 24, 77, 677
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\mapa.html", "HTML", 0, 0, 0, 107, 0, 2, 14, 123
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\mapa.js", "JavaScript", 0, 0, 320, 0, 0, 33, 59, 412
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\museo.css", "PostCSS", 0, 592, 0, 0, 0, 21, 74, 687
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\museo1.html", "HTML", 0, 0, 0, 99, 0, 10, 10, 119
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\museo1.js", "JavaScript", 0, 0, 143, 0, 0, 22, 26, 191
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\museo2.css", "PostCSS", 0, 441, 0, 0, 0, 12, 50, 503
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\museo2.html", "HTML", 0, 0, 0, 104, 0, 0, 11, 115
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\museo2.js", "JavaScript", 0, 0, 43, 0, 0, 2, 8, 53
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\nuestra.css", "PostCSS", 0, 463, 0, 0, 0, 15, 63, 541
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\nuestra.html", "HTML", 0, 0, 0, 140, 0, 3, 22, 165
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\nuestra.js", "JavaScript", 0, 0, 176, 0, 0, 19, 42, 237
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\programas.css", "PostCSS", 0, 549, 0, 0, 0, 16, 94, 659
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\programas.html", "HTML", 0, 0, 0, 189, 0, 7, 26, 222
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\servicios\programas.js", "JavaScript", 0, 0, 244, 0, 0, 20, 30, 294
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\usuario\global.js", "JavaScript", 0, 0, 28, 0, 0, 0, 4, 32
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\usuario\index.html", "HTML", 0, 0, 0, 366, 0, 12, 60, 438
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\usuario\iniciar.css", "PostCSS", 0, 244, 0, 0, 0, 2, 32, 278
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\usuario\iniciar.html", "HTML", 0, 0, 0, 67, 0, 0, 11, 78
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\usuario\iniciar.js", "JavaScript", 0, 0, 55, 0, 0, 4, 10, 69
"c:\Users\hp\Desktop\PROYECTO COMPLETO\FRONT-END\usuario\recuperar.css", "PostCSS", 0, 223, 0, 0, 0, 3, 28, 254
